file,m,j,d,p,i,guan_solution,guan_optimal,guan_time,guangap,guanbuild_time,guan_solution_time,tbased2_solution,tbased2_optimal,tbased2_time,tbased2gap,tbased2build_time,tbased2_solution_time,cp_limit1s_solution,cp_limit1s_optimal,cp_limit1s_time,cp_limit2s_solution,cp_limit2s_optimal,cp_limit2s_time,cp_limit5s_solution,cp_limit5s_optimal,cp_limit5s_time,cp_limit10s_solution,cp_limit10s_optimal,cp_limit10s_time,cp_limit20s_solution,cp_limit20s_optimal,cp_limit20s_time
m25j30d20p40_5.csv.out,25,30,20,40,5,20,0,10.299000024795532,0.24999999999874967,0.25,10.0490000248,21,0,2613.7009999752045,0.08796269090344856,319.2699999809265,2294.43099999,23,0,1.035,22,0,1.996,21,0,5.205,21,0,10.092,21,0,20.344
m25j30d20p40_6.csv.out,25,30,20,40,6,21,0,10.315999984741211,0.19047619047528178,0.26800012588500977,10.0479998589,29,0,2201.2549998760223,0.3229753872680028,323.16100001335144,1878.09399986,21,0,1.036,21,0,2.034,21,0,5.043,21,0,10.146,21,0,20.399
m25j30d20p40_7.csv.out,25,30,20,40,7,23,0,10.30299997329712,0.4927536231862632,0.2630000114440918,10.0399999619,28,0,3935.6019999980927,0.3163265306111152,367.8359999656677,3567.76600003,21,0,1.04,21,0,2.036,21,0,5.022,21,0,10.344,20,0,20.251
m25j30d20p40_8.csv.out,25,30,20,40,8,23,0,10.316999912261963,0.3043478260856319,0.26399993896484375,10.0529999733,28,0,2339.4430000782013,0.9999999999964286,415.81500005722046,1923.62800002,24,0,0.999,24,0,2.102,23,0,5.04,23,0,10.217,23,0,20.223
m25j30d20p40_9.csv.out,25,30,20,40,9,23,0,10.309000015258789,0.3478260869550082,0.26600003242492676,10.0429999828,29,0,2639.677999973297,0.9999999999965518,409.94200015068054,2229.73599982,24,0,1.074,23,0,2.125,23,0,5.15,23,0,10.18,22,0,20.475
m25j40d20p20_0.csv.out,25,40,20,20,0,35,0,10.558000087738037,0.5714285714269384,0.4909999370574951,10.0670001507,27,0,2066.753000020981,0.05383777804022185,257.414999961853,1809.33800006,29,0,1.016,29,0,2.06,28,0,5.104,28,0,10.134,27,0,20.682
m25j40d20p20_1.csv.out,25,40,20,20,1,32,0,10.528000116348267,0.46874999999853467,0.4660000801086426,10.0620000362,28,1,826.9720001220703,0.0,216.65199995040894,610.320000172,33,0,1.024,31,0,2.035,31,0,5.102,30,0,10.279,30,0,20.272
m25j40d20p20_2.csv.out,25,40,20,20,2,30,0,10.504999876022339,0.49999999999827616,0.4479999542236328,10.0569999218,28,0,2022.0380001068115,0.12147049205378187,212.63900017738342,1809.39899993,27,0,1.053,27,0,2.016,27,0,5.074,27,0,10.362,27,0,20.355
m25j40d20p20_3.csv.out,25,40,20,20,3,37,0,10.51200008392334,0.5675675675660331,0.45600008964538574,10.0559999943,28,0,2093.7539999485016,0.040059530635483204,247.14100003242493,1846.61299992,32,0,1.074,31,0,2.08,30,0,5.081,30,0,10.16,30,0,20.535
m25j40d20p20_4.csv.out,25,40,20,20,4,31,0,10.521000146865845,0.5161290322563963,0.4630000591278076,10.0580000877,27,0,2079.255000114441,0.06984297595861373,269.0840001106262,1810.171,30,0,1.037,29,0,2.045,29,0,5.046,28,0,10.168,27,0,20.369
m25j40d20p20_5.csv.out,25,40,20,20,5,34,0,10.528000116348267,0.7058823529391003,0.45600008964538574,10.0720000267,38,0,2002.3310000896454,0.9999999999973683,192.34600019454956,1809.9849999,26,0,1.014,26,0,2.03,26,0,5.119,26,0,10.102,25,0,20.385
m25j40d20p20_6.csv.out,25,40,20,20,6,34,0,10.55299997329712,0.5580295875131126,0.46200013160705566,10.0909998417,30,1,740.9809999465942,0.0,224.6050000190735,516.375999928,32,0,1.001,32,0,2.019,31,0,5.153,31,0,10.133,31,0,20.637
m25j40d20p20_7.csv.out,25,40,20,20,7,34,0,10.555999994277954,0.6764705882333043,0.4719998836517334,10.0840001106,25,0,2045.9920001029968,0.06226560536213035,210.16799998283386,1835.82400012,29,0,1.05,29,0,2.031,28,0,5.213,27,0,10.231,27,0,20.323
m25j40d20p20_8.csv.out,25,40,20,20,8,30,0,10.51799988746643,0.5666666666647777,0.4590001106262207,10.0589997768,27,0,2030.7469999790192,0.04725106601161763,221.8439998626709,1808.90300012,30,0,1.044,28,0,2.053,28,0,5.101,28,0,10.223,28,0,20.436
m25j40d20p20_9.csv.out,25,40,20,20,9,33,0,10.51200008392334,0.575757575755831,0.4570000171661377,10.0550000668,29,0,2237.2460000514984,0.06708401751482061,308.36899995803833,1928.87700009,32,0,1.003,31,0,2.071,31,0,5.087,30,0,10.181,30,0,20.499
m25j40d20p40_0.csv.out,25,40,20,40,0,36,0,10.523000001907349,0.5246913580232339,0.46399998664855957,10.0590000153,39,0,3246.079999923706,0.9999999999974358,990.7309999465942,2255.34899998,33,0,1.031,32,0,2.042,31,0,5.114,31,0,10.259,31,0,20.405
m25j40d20p40_1.csv.out,25,40,20,40,1,31,0,10.489000082015991,0.41935483870831824,0.4460000991821289,10.0429999828,39,0,3349.9930000305176,0.9999999999974358,989.5520000457764,2360.44099998,32,0,1.025,32,0,2.048,31,0,5.151,31,0,10.149,31,0,20.392
