file,m,j,d,p,i,rpfguan_solution,rpfguan_optimal,rpfguan_time,rpfguangap,rpfguanbuild_time,rpfguan_solution_time,tbasedw_solution,tbasedw_optimal,tbasedw_time,tbasedwgap,tbasedwbuild_time,tbasedw_solution_time
m25j15d15p20_0.csv.out,25,15,15,20,0,9,1,0.25999999046325684,0.0,0.03900003433227539,0.220999956131,9,1,44.68600010871887,0.0,12.020999908447266,32.6650002003
m25j15d15p20_1.csv.out,25,15,15,20,1,7,1,0.29399991035461426,0.0,0.039999961853027344,0.253999948502,7,1,42.615999937057495,0.0,11.799999952316284,30.8159999847
m25j15d15p20_2.csv.out,25,15,15,20,2,6,1,0.23799991607666016,0.0,0.039999961853027344,0.197999954224,6,1,100.51500010490417,0.0,14.00600004196167,86.5090000629
m25j15d15p20_3.csv.out,25,15,15,20,3,8,1,0.3119997978210449,0.0,0.04900002479553223,0.262999773026,8,1,33.19599986076355,0.0,16.096999883651733,17.0989999771
m25j15d15p20_4.csv.out,25,15,15,20,4,8,1,0.30699992179870605,0.0,0.037999868392944336,0.269000053406,8,1,165.98300004005432,0.0,13.976999998092651,152.006000042
m25j15d15p20_5.csv.out,25,15,15,20,5,8,1,0.6210000514984131,0.0,0.039999961853027344,0.581000089645,8,1,50.92700004577637,0.0,12.859999895095825,38.0670001507
m25j15d15p20_6.csv.out,25,15,15,20,6,8,1,1.694000005722046,0.0,0.0410001277923584,1.65299987793,8,1,32.46300005912781,0.0,7.825999975204468,24.6370000839
m25j15d15p20_7.csv.out,25,15,15,20,7,7,1,0.4399998188018799,0.0,0.037999868392944336,0.401999950409,7,1,27.26099991798401,0.0,11.335000038146973,15.9259998798
m25j15d15p20_8.csv.out,25,15,15,20,8,11,1,0.5789999961853027,0.0,0.03900003433227539,0.539999961853,11,1,33.98399996757507,0.0,15.398000001907349,18.5859999657
m25j15d15p20_9.csv.out,25,15,15,20,9,9,1,0.14099979400634766,0.0,0.042999982833862305,0.0979998111725,9,1,75.51099991798401,0.0,14.111000061035156,61.3999998569
m25j15d15p40_0.csv.out,25,15,15,40,0,9,1,0.570000171661377,0.0,0.04900002479553223,0.521000146866,9,1,229.37000012397766,0.0,56.44200015068054,172.927999973
m25j15d15p40_1.csv.out,25,15,15,40,1,9,1,0.6019999980926514,0.0,0.125,0.476999998093,9,1,254.10300016403198,0.0,46.996999979019165,207.106000185
m25j15d15p40_2.csv.out,25,15,15,40,2,7,1,7.121999979019165,0.0,0.0840001106262207,7.03799986839,7,1,121.58699989318848,0.0,36.0939998626709,85.4930000305
m25j15d15p40_3.csv.out,25,15,15,40,3,9,1,0.31799983978271484,0.0,0.048999786376953125,0.269000053406,9,1,237.56900000572205,0.0,45.801000118255615,191.767999887
m25j15d15p40_4.csv.out,25,15,15,40,4,9,1,0.6809999942779541,0.0,0.046000003814697266,0.634999990463,9,1,183.57100009918213,0.0,40.443000078201294,143.128000021
m25j15d15p40_5.csv.out,25,15,15,40,5,10,1,3.116999864578247,0.0,0.04900002479553223,3.06799983978,10,1,358.6870000362396,0.0,52.861000061035156,305.825999975
m25j15d15p40_6.csv.out,25,15,15,40,6,8,1,1.7899999618530273,0.0,0.16300010681152344,1.62699985504,8,1,340.42700004577637,0.0,53.98900008201599,286.437999964
m25j15d15p40_7.csv.out,25,15,15,40,7,10,1,0.7919998168945312,0.0,0.12000012397766113,0.671999692917,10,1,123.05299997329712,0.0,63.80799984931946,59.245000124
m25j15d15p40_8.csv.out,25,15,15,40,8,11,1,0.4089999198913574,0.0,0.1099998950958252,0.299000024796,11,1,117.26200008392334,0.0,45.76300001144409,71.4990000725
m25j15d15p40_9.csv.out,25,15,15,40,9,9,1,0.28999996185302734,0.0,0.08999991416931152,0.200000047684,9,1,94.34700012207031,0.0,35.973999977111816,58.373000145
m25j15d25p05_0.csv.out,25,15,25,05,0,2,1,0.35500001907348633,0.0,0.0710000991821289,0.283999919891,2,1,3.6659998893737793,0.0,1.997999906539917,1.66799998283
m25j15d25p05_1.csv.out,25,15,25,05,1,1,1,1.2869999408721924,0.0,0.05800008773803711,1.22899985313,1,1,6.064000129699707,0.0,2.239000082015991,3.82500004768
m25j15d25p05_2.csv.out,25,15,25,05,2,1,1,0.3210000991821289,0.0,0.07000017166137695,0.250999927521,1,1,4.70199990272522,0.0,2.260999917984009,2.44099998474
m25j15d25p05_3.csv.out,25,15,25,05,3,0,1,0.3210000991821289,0.0,0.07000017166137695,0.250999927521,0,1,4.958000183105469,0.0,2.1410000324249268,2.81700015068
m25j15d25p05_4.csv.out,25,15,25,05,4,1,1,0.26399993896484375,0.0,0.08299994468688965,0.180999994278,1,1,4.440999984741211,0.0,2.318000078201294,2.12299990654
m25j15d25p05_5.csv.out,25,15,25,05,5,3,1,0.23800015449523926,0.0,0.0559999942779541,0.182000160217,3,1,4.200999975204468,0.0,2.069999933242798,2.13100004196
m25j15d25p05_6.csv.out,25,15,25,05,6,2,1,0.6660001277923584,0.0,0.05300021171569824,0.612999916077,2,1,3.4220001697540283,0.0,1.7400000095367432,1.68200016022
m25j15d25p05_7.csv.out,25,15,25,05,7,0,1,0.12199997901916504,0.0,0.05800008773803711,0.0639998912811,0,1,3.935999870300293,0.0,2.2159998416900635,1.72000002861
m25j15d25p05_8.csv.out,25,15,25,05,8,1,1,0.3959999084472656,0.0,0.06100010871887207,0.334999799728,1,1,3.885999917984009,0.0,2.181999921798706,1.70399999619
m25j15d25p05_9.csv.out,25,15,25,05,9,3,1,0.22799992561340332,0.0,0.07200002670288086,0.155999898911,3,1,3.446000099182129,0.0,1.871000051498413,1.57500004768
m25j15d25p10_0.csv.out,25,15,25,10,0,5,1,1.5199999809265137,0.0,0.03899979591369629,1.48100018501,5,1,9.160000085830688,0.0,4.315000057220459,4.84500002861
m25j15d25p10_1.csv.out,25,15,25,10,1,3,1,0.312000036239624,0.0,0.03900003433227539,0.273000001907,3,1,8.190999984741211,0.0,3.128000020980835,5.06299996376
m25j15d25p10_2.csv.out,25,15,25,10,2,4,1,1.7420001029968262,0.0,0.03800010681152344,1.70399999619,4,1,15.339999914169312,0.0,4.851000070571899,10.4889998436
m25j15d25p10_3.csv.out,25,15,25,10,3,5,1,0.7269999980926514,0.0,0.0409998893737793,0.686000108719,5,1,11.129999876022339,0.0,5.446000099182129,5.68399977684
m25j15d25p10_4.csv.out,25,15,25,10,4,7,1,2.5999999046325684,0.0,0.03900003433227539,2.5609998703,7,1,13.610999822616577,0.0,5.197999954223633,8.41299986839
m25j15d25p10_5.csv.out,25,15,25,10,5,2,1,1.3609998226165771,0.0,0.03899979591369629,1.3220000267,2,1,18.19600009918213,0.0,5.338000059127808,12.8580000401
m25j15d25p10_6.csv.out,25,15,25,10,6,5,1,0.5820000171661377,0.0,0.0409998893737793,0.541000127792,5,1,10.945000171661377,0.0,4.71399998664856,6.23100018501
m25j15d25p10_7.csv.out,25,15,25,10,7,3,1,0.6080000400543213,0.0,0.04200005531311035,0.565999984741,3,1,13.26800012588501,0.0,3.7699999809265137,9.49800014496
m25j15d25p10_8.csv.out,25,15,25,10,8,5,1,2.2679998874664307,0.0,0.03800010681152344,2.22999978065,5,1,12.430000066757202,0.0,4.50600004196167,7.9240000248
m25j15d25p10_9.csv.out,25,15,25,10,9,5,1,1.055999994277954,0.0,0.037999868392944336,1.01800012589,5,1,12.975000143051147,0.0,6.070000171661377,6.90499997139
m25j15d25p20_0.csv.out,25,15,25,20,0,6,1,0.6619999408721924,0.0,0.03800010681152344,0.623999834061,6,1,43.217000007629395,0.0,13.730000019073486,29.4869999886
m25j15d25p20_1.csv.out,25,15,25,20,1,7,1,0.4630000591278076,0.0,0.039999961853027344,0.423000097275,7,1,32.15300011634827,0.0,11.949000120162964,20.2039999962
m25j15d25p20_2.csv.out,25,15,25,20,2,9,1,0.3559999465942383,0.0,0.03900003433227539,0.316999912262,9,1,29.84600019454956,0.0,16.5770001411438,13.2690000534
m25j15d25p20_3.csv.out,25,15,25,20,3,7,1,0.503000020980835,0.0,0.039999961853027344,0.463000059128,7,1,130.44400000572205,0.0,16.42899990081787,114.015000105
m25j15d25p20_4.csv.out,25,15,25,20,4,5,1,3.066999912261963,0.0,0.046000003814697266,3.02099990845,5,1,62.31700015068054,0.0,14.98800015449524,47.3289999962
m25j15d25p20_5.csv.out,25,15,25,20,5,7,1,3.121999979019165,0.0,0.03900003433227539,3.08299994469,7,1,54.29200005531311,0.0,14.617000102996826,39.6749999523
m25j15d25p20_6.csv.out,25,15,25,20,6,8,1,1.7010002136230469,0.0,0.040000200271606445,1.66100001335,8,1,78.99799990653992,0.0,15.76799988746643,63.2300000191
m25j15d25p20_7.csv.out,25,15,25,20,7,5,1,0.3689999580383301,0.0,0.03900003433227539,0.329999923706,5,1,30.115000009536743,0.0,11.852999925613403,18.2620000839
m25j15d25p20_8.csv.out,25,15,25,20,8,8,1,0.17799997329711914,0.0,0.039999961853027344,0.138000011444,8,1,28.223999977111816,0.0,14.305999994277954,13.9179999828
m25j15d25p20_9.csv.out,25,15,25,20,9,7,1,3.075000047683716,0.0,0.039999961853027344,3.03500008583,7,1,61.240999937057495,0.0,14.434000015258789,46.8069999218
m25j15d25p40_0.csv.out,25,15,25,40,0,10,1,0.18200016021728516,0.0,0.04500007629394531,0.137000083923,10,1,156.71200013160706,0.0,59.47800016403198,97.2339999676
m25j15d25p40_1.csv.out,25,15,25,40,1,9,1,0.4519999027252197,0.0,0.12999987602233887,0.322000026703,9,1,414.57299995422363,0.0,66.54299998283386,348.029999971
m25j15d25p40_2.csv.out,25,15,25,40,2,10,1,0.999000072479248,0.0,0.15799999237060547,0.841000080109,10,1,127.45799994468689,0.0,61.812000036239624,65.6459999084
m25j15d25p40_3.csv.out,25,15,25,40,3,11,1,0.24300003051757812,0.0,0.04900002479553223,0.194000005722,11,1,313.5899999141693,0.0,64.33699989318848,249.253000021
m25j15d25p40_4.csv.out,25,15,25,40,4,9,1,0.7929999828338623,0.0,0.06299996376037598,0.730000019073,9,1,140.00300002098083,0.0,48.58200001716614,91.4210000038
m25j15d25p40_5.csv.out,25,15,25,40,5,9,1,0.7409999370574951,0.0,0.12400007247924805,0.616999864578,9,1,339.6270000934601,0.0,60.151000022888184,279.476000071
m25j15d25p40_6.csv.out,25,15,25,40,6,8,1,0.755000114440918,0.0,0.13100004196166992,0.624000072479,9,0,1856.1960000991821,0.18875661375451644,52.59700012207031,1803.59899998
m25j15d25p40_7.csv.out,25,15,25,40,7,8,1,0.22799992561340332,0.0,0.05099987983703613,0.177000045776,8,1,332.4779999256134,0.0,60.44399976730347,272.034000158
m25j15d25p40_8.csv.out,25,15,25,40,8,11,1,0.4070000648498535,0.0,0.10400009155273438,0.302999973297,11,1,76.76500010490417,0.0,44.4300000667572,32.3350000381
m25j15d25p40_9.csv.out,25,15,25,40,9,10,1,0.1490001678466797,0.0,0.04500007629394531,0.104000091553,10,1,213.2460000514984,0.0,65.57599997520447,147.670000076
m25j25d15p05_0.csv.out,25,25,15,05,0,8,1,285.54500007629395,0.0,0.13700008392333984,285.407999992,8,1,22.17300009727478,0.0,6.14900016784668,16.0239999294
m25j25d15p05_1.csv.out,25,25,15,05,1,7,0,1800.332999944687,0.2857142857102046,0.09500002861022949,1800.23799992,6,1,68.20699977874756,0.0,6.006999969482422,62.1999998093
m25j25d15p05_2.csv.out,25,25,15,05,2,12,0,1800.4790000915527,0.24999999999791786,0.09400010108947754,1800.38499999,12,1,17.846999883651733,0.0,5.828000068664551,12.018999815
m25j25d15p05_3.csv.out,25,25,15,05,3,8,0,1800.4409999847412,0.37499999999531375,0.09299993515014648,1800.34800005,8,1,34.32200002670288,0.0,6.253000020980835,28.0690000057
m25j25d15p05_4.csv.out,25,25,15,05,4,8,0,1800.3519999980927,0.2499999999968771,0.09099984169006348,1800.26100016,8,1,18.838000059127808,0.0,6.257000207901001,12.5809998512
m25j25d15p05_5.csv.out,25,25,15,05,5,8,1,245.22099995613098,0.0,0.09099984169006348,245.130000114,8,1,10.954999923706055,0.0,5.523999929428101,5.43099999428
m25j25d15p05_6.csv.out,25,25,15,05,6,8,0,1800.316999912262,0.3143656716378616,0.09299993515014648,1800.22399998,8,1,23.251999855041504,0.0,5.319000005722046,17.9329998493
